point_id,point_no,point_name,created,meeting_place,max_number
2,2,上池台,2024-01-16,"上池台３丁目公園 トイレ付近",10
3,3,仲池上A,2024-01-16,道々橋交番前,8
4,4,仲池上B,2024-01-16,大森十中正門前,10
1,1,東雪谷,2024-01-16,池雪小学校正門前,9
